State,Total NOTA Votes,Total Votes in State,% NOTA Votes
Andaman & Nicobar Islands,1809.0,202514.0,0.893271576286084
Andhra Pradesh,402366.0,33729342.0,1.192925732141469
Arunachal Pradesh,7191.0,723247.0,0.9942661359120744
Assam,240301.0,20059870.0,1.1979190293855344
Bihar,899616.0,43448949.0,2.0705126837475403
Chandigarh,2912.0,449275.0,0.648155361415614
Chhattisgarh,136111.0,15061348.0,0.9037106107633925
Dadra & Nagar Haveli and Daman & Diu,6129.0,297998.0,2.056725212920892
Goa,11165.0,906538.0,1.2316086032797302
Gujarat,460341.0,29115599.0,1.581080299945057
Haryana,43542.0,13055572.0,0.3335127714051901
Himachal Pradesh,23125.0,4069906.0,0.568194941111662
Jammu and Kashmir,34788.0,5151193.0,0.6753387030926622
Jharkhand,195472.0,17241982.0,1.1336979704537449
Karnataka,218343.0,38793617.0,0.5628322824345046
Kerala,158456.0,19980436.0,0.7930557671514276
Ladakh,912.0,135524.0,0.6729435376759836
Lakshadweep,133.0,49200.0,0.2703252032520325
Madhya Pradesh,533705.0,37940251.0,1.4066986536277792
Maharashtra,415580.0,57179133.0,0.7268036050843932
Manipur,11022.0,1593632.0,0.6916276781590731
Meghalaya,16848.0,1711967.0,0.9841311193498472
Mizoram,1893.0,491336.0,0.38527606363059086
NCT OF Delhi,45287.0,8938049.0,0.5066765689022291
Nagaland,1646.0,760796.0,0.21635234675261172
Odisha,325483.0,25129026.0,1.2952471775069994
Puducherry,9763.0,807940.0,1.2083818105304849
Punjab,67158.0,13530923.0,0.49632977735517375
Rajasthan,279464.0,33164877.0,0.8426504943769277
Sikkim,2527.0,384893.0,0.6565461050213955
Tamil Nadu,467068.0,43674048.0,1.0694405977664356
Telangana,104244.0,22008373.0,0.473656094432787
Tripura,32915.0,2344154.0,1.4041312985409662
Uttar Pradesh,636848.0,87911642.0,0.7244182744305925
Uttarakhand,53103.0,4836608.0,1.0979388860953792
West Bengal,524954.0,60483687.0,0.8679265865521724
